102,Bobcat Stadium (MD),Frostburg,MD,21532,US,NULL,NULL,NULL,NULL,4000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
103,Bob Ford Field,Albany,NY,12222,US,America/New_York,NULL,NULL,64.42764282,8500,2013,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
104,Bob Young Field,Sioux Falls,SD,57117,US,NULL,NULL,NULL,NULL,5000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
105,Bolstorff Field,Forest City,IA,50436,US,NULL,NULL,NULL,NULL,0,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
106,Boone Pickens Stadium,Stillwater,OK,74078,US,America/Chicago,NULL,NULL,276.4808655,55509,1919,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
107,Boswell Field at David J. Urick Stadium,Geneva,NY,14456,US,NULL,NULL,NULL,NULL,3000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
108,Bowditch Field,Framingham,MA,1702,US,NULL,NULL,NULL,NULL,5300,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
109,Bowers Stadium,Huntsville,TX,77340,US,America/Chicago,NULL,NULL,127.6225204,14000,1986,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
110,Bowman Gray Stadium,Winston-Salem,NC,27107,US,America/New_York,NULL,NULL,242.5,17000,1937,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
111,Bragg Memorial Stadium,Tallahassee,FL,32307,US,America/New_York,NULL,NULL,31.18483925,25500,1957,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
112,Braly Municipal Stadium,Florence,AL,35630,US,America/Chicago,NULL,NULL,172.3,14215,1949,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
113,Brevard Memorial Stadium,Brevard,NC,NULL,US,NULL,NULL,NULL,NULL,7000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
114,Bridgeforth Stadium,Harrisonburg,VA,22807,US,America/New_York,NULL,NULL,399.303009,24877,1975,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
115,Brigham Field at Huskie Stadium,DeKalb,IL,60115,US,America/Chicago,NULL,NULL,267.4530029,23595,1965,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
116,Bright House Networks Stadium,Orlando,FL,32816,US,America/New_York,NULL,NULL,20.94113731,44206,2007,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
117,Bristol Motor Speedway,Briston,TN,37620,US,America/New_York,NULL,NULL,456.8201294,162000,1961,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
118,Brooks Stadium,Conway,SC,29528,US,America/New_York,NULL,NULL,13.74894905,21000,2003,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
119,Brooks Stadium (NY),Kings Point,NY,11024,US,NULL,NULL,NULL,NULL,2000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
120,Brown Field,Valparaiso,IN,46383,US,America/Chicago,NULL,NULL,244.6367645,5000,1919,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
121,Brown Stadium,Providence,RI,2912,US,America/New_York,NULL,NULL,33.87348557,20000,1925,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
