247,Indiana,Michigan,Indiana,27,500,2020-11-07 22:00:00,1
248,USC,Arizona State,USC,27,463,2020-11-07 22:00:00,1
249,Texas,West Virginia,Texas,27,206,2020-11-07 22:00:00,1
250,Northwestern,Nebraska,Northwestern,27,642,2020-11-07 22:00:00,1
251,Georgia,Florida,Florida,27,257,2020-11-08 01:30:00,1
252,Cincinnati,Houston,Cincinnati,27,544,2020-11-08 01:30:00,1
253,Kansas State,Oklahoma State,Oklahoma State,27,85,2020-11-08 02:00:00,1
254,Notre Dame,Clemson,Notre Dame,27,546,2020-11-08 05:30:00,1
255,Arkansas,Tennessee,Arkansas,27,222,2020-11-08 05:30:00,1
256,Oregon State,Washington State,Washington State,27,606,2020-11-08 08:30:00,1
257,Cincinnati,Memphis,Cincinnati,26,544,2020-10-31 20:00:00,1
258,West Virginia,Kansas State,West Virginia,26,531,2020-10-31 20:00:00,1
259,Illinois,Purdue,Purdue,26,500,2020-10-31 20:00:00,1
260,Houston,UCF,UCF,26,404,2020-10-31 22:00:00,1
261,Baylor,TCU,TCU,26,493,2020-10-31 23:30:00,1
262,Auburn,LSU,Auburn,26,409,2020-10-31 23:30:00,1
263,Oklahoma State,Texas,Texas,26,106,2020-11-01 00:00:00,1
264,Air Force,Boise State,Boise State,26,258,2020-11-01 02:00:00,1
265,Penn State,Ohio State,Ohio State,26,73,2020-11-01 03:30:00,1
266,Texas A&M,Arkansas,Texas A&M,26,433,2020-11-01 03:30:00,1
267,North Carolina,NC State,North Carolina,25,416,2020-10-24 20:00:00,1
268,Kansas State,Kansas,Kansas State,25,85,2020-10-24 20:00:00,1
269,Ole Miss,Auburn,Auburn,25,765,2020-10-24 20:00:00,1
270,TCU,Oklahoma,Oklahoma,25,37,2020-10-24 20:00:00,1
271,Louisville,Florida State,Louisville,25,567,2020-10-24 20:00:00,1
272,Michigan State,Rutgers,Rutgers,25,689,2020-10-24 20:00:00,1
273,Oklahoma State,Iowa State,Oklahoma State,25,106,2020-10-24 23:30:00,1
274,Texas,Baylor,Texas,25,206,2020-10-24 23:30:00,1
275,Minnesota,Michigan,Michigan,25,722,2020-10-25 03:30:00,1
276,SMU,Cincinnati,Cincinnati,25,308,2020-10-25 05:00:00,1
277,UCF,Boise State,UCF,35,116,2021-09-03 03:00:00,1
278,Virginia Tech,North Carolina,Virginia Tech,35,438,2021-09-04 02:00:00,1
279,Wisconsin,Penn State,Penn State,35,143,2021-09-04 20:00:00,1
280,Kansas State,Stanford,Kansas State,35,56,2021-09-04 20:00:00,1
281,Miami,Alabama,Alabama,35,515,2021-09-04 23:30:00,1
282,Iowa,Indiana,Iowa,35,425,2021-09-04 23:30:00,1
283,Texas,Louisiana,Texas,35,206,2021-09-05 00:30:00,1
284,Clemson,Georgia,Georgia,35,65,2021-09-05 03:30:00,1
285,UCLA,LSU,UCLA,35,635,2021-08-28 23:30:00,1
286,California,Nevada,Nevada,35,138,2021-09-05 06:30:00,1
287,Ohio State,Oregon,Oregon,36,553,2021-09-11 20:00:00,1
288,Tennessee,Pittsburgh,Pittsburgh,36,543,2021-09-11 20:00:00,1
289,Nebraska,Buffalo,Nebraska,36,500,2021-09-11 23:30:00,1
290,Iowa State,Iowa,Iowa,36,380,2021-09-12 00:30:00,1
291,Washington State,Portland State,Washington State,36,480,2021-09-12 02:00:00,1
292,Arkansas,Texas,Arkansas,36,222,2021-09-12 03:00:00,1
293,Appalachian State,Miami,Appalachian State,36,335,2021-09-12 03:00:00,1
294,Mississippi State,NC State,Mississippi State,36,210,2021-09-12 03:00:00,1
295,Michigan,Washington,Michigan,36,521,2021-09-12 04:00:00,1
296,BYU,Utah,BYU,36,441,2021-09-12 06:15:00,1
297,Indiana,Cincinnati,Cincinnati,37,500,2021-09-18 20:00:00,1
298,West Virginia,Virginia Tech,West Virginia,37,531,2021-09-18 20:00:00,1
299,Miami,Michigan State,Michigan State,37,335,2021-09-18 20:00:00,1
300,Kansas State,Nevada,Kansas State,37,85,2021-09-18 22:00:00,1
301,Notre Dame,Purdue,Notre Dame,37,546,2021-09-18 22:30:00,1
302,Florida,Alabama,Alabama,37,77,2021-09-18 23:30:00,1
303,Penn State,Auburn,Penn State,37,73,2021-09-19 03:30:00,1
304,North Carolina,Virginia,North Carolina,37,416,2021-09-19 03:30:00,1
305,BYU,Arizona State,BYU,37,441,2021-09-19 06:15:00,1
306,UCLA,Fresno State,Fresno State,37,635,2021-09-19 06:45:00,1
307,Wisconsin,Notre Dame,Notre Dame,38,683,2021-09-25 20:00:00,1
308,Mississippi State,LSU,LSU,38,210,2021-09-25 20:00:00,1
309,Boston College,Missouri,Boston College,38,29,2021-09-25 20:00:00,1
310,TCU,SMU,SMU,38,37,2021-09-25 20:00:00,1
311,Arkansas,Texas A&M,Arkansas,38,56,2021-09-25 23:30:00,1
312,Memphis,UT San Antonio,UT San Antonio,38,455,2021-09-25 23:30:00,1
313,Florida State,Louisville,Louisville,38,99,2021-09-25 23:30:00,1
314,Illinois,Purdue,Illinois,38,637,2021-09-25 23:30:00,1
315,Stanford,UCLA,UCLA,38,701,2021-09-26 02:00:00,1
316,Oklahoma State,Kansas State,Oklahoma State,38,106,2021-09-26 03:00:00,1
317,Georgia,Arkansas,Georgia,39,650,2021-10-02 20:00:00,1
318,Wisconsin,Michigan,Michigan,39,143,2021-10-02 20:00:00,1
319,TCU,Texas,Texas,39,37,2021-10-02 20:00:00,1
320,Notre Dame,Cincinnati,Cincinnati,39,546,2021-10-02 22:30:00,1
321,Alabama,Ole Miss,Alabama,39,123,2021-10-02 23:30:00,1
322,Stanford,Oregon,Stanford,39,701,2021-10-02 23:30:00,1
323,Oklahoma State,Baylor,Oklahoma State,39,106,2021-10-03 03:00:00,1
324,Clemson,Boston College,Clemson,39,500,2021-10-03 03:30:00,1
325,LSU,Auburn,Auburn,39,731,2021-10-03 05:00:00,1
326,UCLA,Arizona State,Arizona State,39,635,2021-10-03 06:30:00,1
327,Texas,Oklahoma,Oklahoma,40,189,2021-10-09 20:00:00,1
328,Ole Miss,Arkansas,Ole Miss,40,765,2021-10-09 20:00:00,1
329,Duke,Georgia Tech,Georgia Tech,40,775,2021-10-09 20:30:00,1
330,Auburn,Georgia,Georgia,40,409,2021-10-09 23:30:00,1
331,BYU,Boise State,Boise State,40,441,2021-10-09 23:30:00,1
332,UMass,Connecticut,UMass,40,781,2021-10-09 23:30:00,1
333,Iowa,Penn State,Iowa,40,425,2021-10-10 00:00:00,1
334,UCF,East Carolina,UCF,40,116,2021-10-10 02:00:00,1
335,Western Kentucky,UT San Antonio,UT San Antonio,40,359,2021-10-10 03:00:00,1
336,Nebraska,Michigan,Michigan,40,500,2021-10-10 03:30:00,1
337,Louisiana,Appalachian State,Louisiana,41,137,2021-10-13 03:30:00,1
338,Texas,Oklahoma State,Oklahoma State,41,206,2021-10-16 20:00:00,1
339,Connecticut,Yale,Connecticut,41,605,2021-10-16 20:00:00,1
340,Georgia,Kentucky,Georgia,41,650,2021-10-16 23:30:00,1
341,Baylor,BYU,Baylor,41,493,2021-10-16 23:30:00,1
342,North Carolina,Miami,North Carolina,41,416,2021-10-16 23:30:00,1
343,Mississippi State,Alabama,Alabama,41,210,2021-10-17 03:00:00,1
344,Tennessee,Ole Miss,Ole Miss,41,543,2021-10-17 03:30:00,1
345,Kansas State,Iowa State,Iowa State,41,85,2021-10-17 03:30:00,1
346,Wisconsin,Army,Wisconsin,41,143,2021-10-17 04:00:00,1
347,Appalachian State,Coastal Carolina,Appalachian State,42,424,2021-10-21 03:30:00,1
348,Army,Wake Forest,Wake Forest,42,92,2021-10-23 20:00:00,1
349,Purdue,Wisconsin,Wisconsin,42,637,2021-10-23 23:00:00,1
350,Iowa State,Oklahoma State,Iowa State,42,380,2021-10-23 23:30:00,1
351,UCLA,Oregon,Oregon,42,635,2021-10-23 23:30:00,1
352,Pittsburgh,Clemson,Pittsburgh,42,342,2021-10-23 23:30:00,1
353,Toledo,Western Michigan,Toledo,42,312,2021-10-23 23:30:00,1
354,Washington State,BYU,BYU,42,480,2021-10-23 23:30:00,1
355,Notre Dame,USC,Notre Dame,42,546,2021-10-24 03:30:00,1
356,Miami,NC State,Miami,42,335,2021-10-24 03:30:00,1
357,Michigan State,Michigan,Michigan State,43,689,2021-10-30 20:00:00,1
358,Baylor,Texas,Baylor,43,493,2021-10-30 20:00:00,1
359,Florida,Georgia,Georgia,43,257,2021-10-30 23:30:00,1
360,Auburn,Ole Miss,Auburn,43,409,2021-10-31 03:00:00,1
361,Mississippi State,Kentucky,Mississippi State,43,210,2021-10-31 03:00:00,1
362,Houston,SMU,Houston,43,404,2021-10-31 03:00:00,1
363,Ohio State,Penn State,Ohio State,43,553,2021-10-31 03:30:00,1
364,Utah,UCLA,Utah,43,611,2021-10-31 06:00:00,1
365,BYU,Virginia,BYU,43,441,2021-10-31 06:15:00,1
366,San Diego State,Fresno State,Fresno State,43,589,2021-10-31 06:30:00,1
367,Boston College,Virginia Tech,Boston College,44,29,2021-11-06 03:30:00,1
368,North Carolina,Wake Forest,North Carolina,44,416,2021-11-06 20:00:00,1
369,Ole Miss,Liberty,Ole Miss,44,765,2021-11-06 20:00:00,1
370,Kansas,Kansas State,Kansas State,44,500,2021-11-06 20:00:00,1
371,Texas A&M,Auburn,Texas A&M,44,433,2021-11-06 23:30:00,1
372,Maryland,Penn State,Penn State,44,482,2021-11-06 23:30:00,1
373,Arkansas,Mississippi State,Arkansas,44,222,2021-11-07 00:00:00,1
