69,Fresno State,Mountain West,fbs,#c41230,#231f20,NULL,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/278.png,@FresnoStateFB
70,Furman,Southern,fcs,#4A2184,#909090,NULL,Paladins,http://a.espncdn.com/i/teamlogos/ncaa/500/231.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/231.png,@PaladinFootball
71,Gardner-Webb,Big South-OVC,fcs,#c12535,#909090,NULL,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2241.png,@GWUFootball
72,Georgetown,Patriot,fcs,#110E42,#001c58,NULL,Hoyas,http://a.espncdn.com/i/teamlogos/ncaa/500/46.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/46.png,@HoyasFB
73,Georgia,SEC,fbs,#CC0000,#000000,NULL,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png,@GeorgiaFootball
74,Georgia Southern,Sun Belt,fbs,#003775,#f0f0f0,NULL,Eagles,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/290.png,@GSAthletics_FB
75,Georgia State,Sun Belt,fbs,#1e539a,#ebebeb,NULL,Panthers,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2247.png,@GeorgiaStateFB
76,Georgia Tech,ACC,fbs,#00223e,#002c56,NULL,Yellow Jackets,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/59.png,@GeorgiaTechFB
77,Grambling,SWAC,fcs,#ee8601,#ffd10a,NULL,Tigers,http://a.espncdn.com/i/teamlogos/ncaa/500/2755.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2755.png,@GSU_Tigers
78,Hampton,CAA,fcs,#0067AC,NULL,NULL,Pirates,http://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2261.png,@Hampton_FB
79,Harvard,Ivy,fcs,#990000,#dbdbdb,NULL,Crimson,http://a.espncdn.com/i/teamlogos/ncaa/500/108.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/108.png,@HarvardFootball
80,Hawai'i,Mountain West,fbs,#003420,#ffffff,NULL,Rainbow Warriors,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/62.png,@HawaiiFootball
81,Holy Cross,Patriot,fcs,#0a0a0a,#080808,NULL,Crusaders,http://a.espncdn.com/i/teamlogos/ncaa/500/107.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/107.png,@HCrossFB
82,Houston,Big 12,fbs,#C90822,#231f20,NULL,Cougars,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/248.png,@UHCougarFB
83,Houston Christian,Southland,fcs,#00539c,NULL,NULL,Huskies,http://a.espncdn.com/i/teamlogos/ncaa/500/2277.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2277.png,@HCUFootball
84,Howard,MEAC,fcs,#9e0b0e,#6b818d,NULL,Bison,http://a.espncdn.com/i/teamlogos/ncaa/500/47.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/47.png,@HUBisonFootball
85,Idaho,Big Sky,fcs,#000000,#8c6e4a,NULL,Vandals,http://a.espncdn.com/i/teamlogos/ncaa/500/70.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/70.png,@VandalFootball
86,Idaho State,Big Sky,fcs,#ef8c00,#e9a126,NULL,Bengals,http://a.espncdn.com/i/teamlogos/ncaa/500/304.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/304.png,@IdahoStateFB
87,Illinois,Big Ten,fbs,#13294B,#E84A27,NULL,Fighting Illini,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/356.png,@IlliniFootball
88,Illinois State,MVFC,fcs,#CE1126,#ffe716,NULL,Redbirds,http://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2287.png,@RedbirdFB
89,Incarnate Word,Southland,fcs,#000000,#080808,NULL,Cardinals,http://a.espncdn.com/i/teamlogos/ncaa/500/2916.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2916.png,@UIWFootball
90,Indiana,Big Ten,fbs,#7D110C,#eeedeb,NULL,Hoosiers,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/84.png,@IndianaFootball
91,Indiana State,MVFC,fcs,#00669a,#f0f0f0,NULL,Sycamores,http://a.espncdn.com/i/teamlogos/ncaa/500/282.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/282.png,@IndianaStateFB
92,Iowa,Big Ten,fbs,#000000,#ffe100,NULL,Hawkeyes,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2294.png,@HawkeyeFootball
93,Iowa State,Big 12,fbs,#660015,#FDCA2F,NULL,Cyclones,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png,@CycloneFB
94,Jackson State,SWAC,fcs,#123297,#b5b7ba,NULL,Tigers,http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2296.png,@GoJSUTigersFB
95,Jacksonville State,Conference USA,fbs,#b50500,#b5b7ba,NULL,Gamecocks,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/55.png,@JSUGamecocksFB
96,James Madison,Sun Belt,fbs,#450084,#cbb778,NULL,Dukes,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/256.png,@JMUFootball
97,Kansas,Big 12,fbs,#0022B4,#e8000d,NULL,Jayhawks,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2305.png,@KU_Football
98,Kansas State,Big 12,fbs,#633194,#e7d2ad,NULL,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2306.png,@KStateFB
99,Kennesaw State,FCS Independents,fcs,#000000,#fdbb30,NULL,Owls,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/338.png,@KennesawStFB
100,Kent State,Mid-American,fbs,#002445,#f0b510,NULL,Golden Flashes,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2309.png,@KentStFootball
101,Kentucky,SEC,fbs,#005DAA,#ffffff,NULL,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/96.png,@UKFootball
102,Lafayette,Patriot,fcs,#790000,#a59474,NULL,Leopards,http://a.espncdn.com/i/teamlogos/ncaa/500/322.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/322.png,@LafColFootball
103,Lamar,Southland,fcs,#000000,#ebebeb,NULL,Cardinals,http://a.espncdn.com/i/teamlogos/ncaa/500/2320.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2320.png,@LamarFootball
104,Lehigh,Patriot,fcs,#6c2b2a,#b69e70,NULL,Mountain Hawks,http://a.espncdn.com/i/teamlogos/ncaa/500/2329.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2329.png,@LehighFootball
105,Liberty,Conference USA,fbs,#071740,#a61f21,NULL,Flames,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2335.png,@LibertyFootball
106,Lindenwood,Big South-OVC,fcs,#000000,NULL,NULL,Lions,http://a.espncdn.com/i/teamlogos/ncaa/500/2815.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2815.png,@LindenwoodFB
107,Long Island University,NEC,fcs,#69B3E7,#FFC72C,NULL,Sharks,https://a.espncdn.com/i/teamlogos/ncaa/500/112358.png,NULL,NULL
108,Louisiana,Sun Belt,fbs,#ce2842,NULL,NULL,Ragin' Cajuns,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/309.png,@RaginCajunsFB
109,Louisiana Monroe,Sun Belt,fbs,#231F20,#b18445,NULL,Warhawks,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2433.png,@ULM_FB
110,Louisiana Tech,Conference USA,fbs,#002d65,#d3313a,NULL,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2348.png,@LATechFB
111,Louisville,ACC,fbs,#ad000a,#cccccc,NULL,Cardinals,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/97.png,@LouisvilleFB
112,LSU,SEC,fbs,#fdd023,#2b0d57,NULL,Tigers,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png,@LSUFootball
113,Maine,CAA,fcs,#127dbe,NULL,NULL,Black Bears,http://a.espncdn.com/i/teamlogos/ncaa/500/311.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/311.png,@BlackBearsFB
114,Marist,Pioneer,fcs,#e53730,#f0f0f0,NULL,Red Foxes,http://a.espncdn.com/i/teamlogos/ncaa/500/2368.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2368.png,@Marist_Football
115,Marshall,Sun Belt,fbs,#00ae42,#be854c,NULL,Thundering Herd,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/276.png,@HerdFB
116,Maryland,Big Ten,fbs,#D5002B,#ffcd00,NULL,Terrapins,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/120.png,@TerpsFootball
